case_id,product_sku,store,days_to_expiry,quantity,price_before,price_after,discount_pct,price_change_requested,price_change_approved,commercial_action,evidence_complete,financial_value_at_risk,score,forced_high_reasons,expected_risk,ai_risk,ai_explanation
CASE-0025,SKU-8375,Sala 16,43,37,90.05,90.05,0,False,False,APPLIED,True,3331.85,40,,MEDIO,MEDIO,"Score=40; nivel=MEDIO; factores: vencimiento=43d, valor=3331.85, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0026,SKU-6394,Sala 5,106,32,29.87,26.88,10,True,False,NONE,True,955.84,44,,MEDIO,MEDIO,"Score=44; nivel=MEDIO; factores: vencimiento=106d, valor=955.84, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0027,SKU-9578,Sala 12,59,182,119.31,77.55,35,True,False,APPLIED,True,21714.42,75,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=75; nivel=ALTO; factores: vencimiento=59d, valor=21714.42, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0028,SKU-4942,Sala 12,52,79,45.51,45.51,0,False,False,PENDING_APPROVAL,True,3595.29,52,,MEDIO,MEDIO,"Score=52; nivel=MEDIO; factores: vencimiento=52d, valor=3595.29, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0029,SKU-7906,Sala 1,45,177,60.66,60.66,0,False,False,APPLIED,False,10736.82,67,,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=45d, valor=10736.82, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0030,SKU-8201,Sala 6,46,107,24.37,23.15,5,True,True,APPLIED,True,2607.59,42,,MEDIO,MEDIO,"Score=42; nivel=MEDIO; factores: vencimiento=46d, valor=2607.59, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0031,SKU-2839,Sala 4,1,22,118.43,100.67,15,True,True,NONE,True,2605.46,73,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=1d, valor=2605.46, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0032,SKU-6761,Sala 3,30,90,124.7,74.82,40,True,True,APPLIED,True,11223.0,63,,ALTO,ALTO,"Score=63; nivel=ALTO; factores: vencimiento=30d, valor=11223.0, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0033,SKU-1585,Sala 14,21,209,24.27,24.27,0,False,False,APPLIED,False,5072.43,73,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=21d, valor=5072.43, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0034,SKU-3846,Sala 4,89,208,75.72,75.72,0,False,False,PENDING_APPROVAL,True,15749.76,57,,MEDIO,MEDIO,"Score=57; nivel=MEDIO; factores: vencimiento=89d, valor=15749.76, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0035,SKU-8562,Sala 17,110,97,162.68,162.68,0,False,False,NONE,True,15779.96,50,,MEDIO,MEDIO,"Score=50; nivel=MEDIO; factores: vencimiento=110d, valor=15779.96, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0036,SKU-2097,Sala 1,49,42,17.78,10.67,40,True,True,NONE,True,746.76,45,,MEDIO,MEDIO,"Score=45; nivel=MEDIO; factores: vencimiento=49d, valor=746.76, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0037,SKU-5693,Sala 16,57,181,165.96,149.36,10,True,True,PENDING_APPROVAL,True,30038.76,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=57d, valor=30038.76, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0038,SKU-8315,Sala 12,42,190,176.4,176.4,0,False,False,PENDING_APPROVAL,True,33516.0,72,,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=42d, valor=33516.0, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0039,SKU-3511,Sala 5,16,166,49.75,34.82,30,True,True,APPLIED,True,8258.5,68,,ALTO,ALTO,"Score=68; nivel=ALTO; factores: vencimiento=16d, valor=8258.5, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0040,SKU-4466,Sala 8,10,40,145.64,116.51,20,True,True,NONE,False,5825.6,95,vencimiento <=45 días sin acción comercial; vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=95; nivel=ALTO; factores: vencimiento=10d, valor=5825.6, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0041,SKU-4165,Sala 15,58,173,82.1,65.68,20,True,False,NONE,True,14203.3,87,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=87; nivel=ALTO; factores: vencimiento=58d, valor=14203.3, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0042,SKU-4682,Sala 14,78,16,120.0,120.0,0,False,False,NONE,True,1920.0,34,,MEDIO,MEDIO,"Score=34; nivel=MEDIO; factores: vencimiento=78d, valor=1920.0, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0043,SKU-7143,Sala 14,67,148,31.06,31.06,0,False,False,APPLIED,True,4596.88,30,,MEDIO,BAJO,"Score=30; nivel=BAJO; factores: vencimiento=67d, valor=4596.88, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0044,SKU-4424,Sala 1,4,110,29.71,26.74,10,True,True,NONE,True,3268.1,83,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=4d, valor=3268.1, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0045,SKU-5731,Sala 15,55,169,10.07,10.07,0,False,False,APPLIED,True,1701.83,36,,MEDIO,MEDIO,"Score=36; nivel=MEDIO; factores: vencimiento=55d, valor=1701.83, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0046,SKU-7998,Sala 18,22,95,132.12,132.12,0,False,False,NONE,True,12551.4,78,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=22d, valor=12551.4, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0047,SKU-2484,Sala 6,41,186,91.67,55.0,40,True,True,APPLIED,True,17050.62,62,,ALTO,ALTO,"Score=62; nivel=ALTO; factores: vencimiento=41d, valor=17050.62, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0048,SKU-3143,Sala 7,11,124,58.84,58.84,0,False,False,PENDING_APPROVAL,True,7296.16,80,,ALTO,ALTO,"Score=80; nivel=ALTO; factores: vencimiento=11d, valor=7296.16, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0049,SKU-8660,Sala 9,8,145,19.57,16.63,15,True,True,APPLIED,True,2837.65,63,,ALTO,ALTO,"Score=63; nivel=ALTO; factores: vencimiento=8d, valor=2837.65, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0050,SKU-5544,Sala 15,45,23,73.73,55.3,25,True,False,APPLIED,True,1695.79,47,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=47; nivel=ALTO; factores: vencimiento=45d, valor=1695.79, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0051,SKU-1161,Sala 18,100,168,35.17,35.17,0,False,False,PENDING_APPROVAL,False,5908.56,60,,ALTO,MEDIO,"Score=60; nivel=MEDIO; factores: vencimiento=100d, valor=5908.56, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0052,SKU-2634,Sala 1,55,41,82.37,82.37,0,False,False,PENDING_APPROVAL,False,3377.17,57,,MEDIO,MEDIO,"Score=57; nivel=MEDIO; factores: vencimiento=55d, valor=3377.17, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0053,SKU-8416,Sala 6,90,68,164.05,155.85,5,True,True,APPLIED,True,11155.4,37,,MEDIO,MEDIO,"Score=37; nivel=MEDIO; factores: vencimiento=90d, valor=11155.4, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0054,SKU-5212,Sala 2,84,44,149.79,149.79,0,False,False,NONE,True,6590.76,52,,MEDIO,MEDIO,"Score=52; nivel=MEDIO; factores: vencimiento=84d, valor=6590.76, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0055,SKU-4613,Sala 17,17,174,12.84,7.7,40,True,True,APPLIED,False,2234.16,65,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=65; nivel=ALTO; factores: vencimiento=17d, valor=2234.16, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0056,SKU-3322,Sala 6,58,191,101.13,75.85,25,True,True,NONE,True,19315.83,74,,ALTO,ALTO,"Score=74; nivel=ALTO; factores: vencimiento=58d, valor=19315.83, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0057,SKU-6320,Sala 4,51,93,109.24,87.39,20,True,True,NONE,False,10159.32,79,,ALTO,ALTO,"Score=79; nivel=ALTO; factores: vencimiento=51d, valor=10159.32, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0058,SKU-9091,Sala 5,111,104,40.76,34.65,15,True,False,APPLIED,True,4239.04,41,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=41; nivel=ALTO; factores: vencimiento=111d, valor=4239.04, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0059,SKU-7072,Sala 7,5,189,127.33,101.86,20,True,True,PENDING_APPROVAL,True,24065.37,90,,ALTO,ALTO,"Score=90; nivel=ALTO; factores: vencimiento=5d, valor=24065.37, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0060,SKU-6220,Sala 6,48,85,121.35,97.08,20,True,True,PENDING_APPROVAL,True,10314.75,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=48d, valor=10314.75, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0061,SKU-9749,Sala 10,6,78,41.81,39.72,5,True,True,NONE,True,3261.18,83,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=6d, valor=3261.18, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0062,SKU-7051,Sala 11,23,172,15.0,9.0,40,True,True,APPLIED,True,2580.0,61,,ALTO,ALTO,"Score=61; nivel=ALTO; factores: vencimiento=23d, valor=2580.0, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0063,SKU-7657,Sala 3,104,201,79.38,79.38,0,False,False,APPLIED,True,15955.38,35,,MEDIO,MEDIO,"Score=35; nivel=MEDIO; factores: vencimiento=104d, valor=15955.38, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0064,SKU-8467,Sala 11,49,22,135.19,121.67,10,True,False,NONE,False,2974.18,75,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=75; nivel=ALTO; factores: vencimiento=49d, valor=2974.18, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0065,SKU-2692,Sala 7,27,67,57.56,34.54,40,True,False,NONE,True,3856.52,92,vencimiento <=45 días sin acción comercial; cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=92; nivel=ALTO; factores: vencimiento=27d, valor=3856.52, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0066,SKU-2683,Sala 12,66,160,74.02,48.11,35,True,False,APPLIED,True,11843.2,68,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=68; nivel=ALTO; factores: vencimiento=66d, valor=11843.2, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0067,SKU-4932,Sala 1,5,120,12.16,7.9,35,True,False,PENDING_APPROVAL,False,1459.2,100,cambio de precio no aprobado con impacto >=1000; vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=100; nivel=ALTO; factores: vencimiento=5d, valor=1459.2, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0068,SKU-1711,Sala 16,49,114,104.43,67.88,35,True,True,APPLIED,False,11905.02,59,,MEDIO,MEDIO,"Score=59; nivel=MEDIO; factores: vencimiento=49d, valor=11905.02, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0069,SKU-6398,Sala 3,80,31,150.94,143.39,5,True,False,APPLIED,True,4679.14,43,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=43; nivel=ALTO; factores: vencimiento=80d, valor=4679.14, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0070,SKU-9760,Sala 3,1,35,103.34,98.17,5,True,True,PENDING_APPROVAL,True,3616.9,73,,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=1d, valor=3616.9, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0071,SKU-5224,Sala 18,37,39,31.86,31.86,0,False,False,APPLIED,False,1242.54,44,,MEDIO,MEDIO,"Score=44; nivel=MEDIO; factores: vencimiento=37d, valor=1242.54, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0072,SKU-8680,Sala 9,15,156,170.94,162.39,5,True,True,NONE,True,26666.64,95,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=95; nivel=ALTO; factores: vencimiento=15d, valor=26666.64, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0073,SKU-5685,Sala 17,96,129,157.14,117.85,25,True,True,PENDING_APPROVAL,True,20271.06,50,,MEDIO,MEDIO,"Score=50; nivel=MEDIO; factores: vencimiento=96d, valor=20271.06, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0074,SKU-4091,Sala 6,102,187,34.12,32.41,5,True,True,APPLIED,True,6380.44,40,,MEDIO,MEDIO,"Score=40; nivel=MEDIO; factores: vencimiento=102d, valor=6380.44, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0075,SKU-4752,Sala 6,26,41,130.14,78.08,40,True,True,NONE,True,5335.74,78,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=26d, valor=5335.74, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0076,SKU-1814,Sala 1,102,131,125.3,81.45,35,True,True,NONE,True,16414.3,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=102d, valor=16414.3, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0077,SKU-2165,Sala 2,59,174,77.4,54.18,30,True,False,PENDING_APPROVAL,True,13467.6,90,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=90; nivel=ALTO; factores: vencimiento=59d, valor=13467.6, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0078,SKU-1533,Sala 15,27,118,123.39,123.39,0,False,False,APPLIED,True,14560.02,58,,MEDIO,ALTO,"Score=58; nivel=ALTO; factores: vencimiento=27d, valor=14560.02, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0079,SKU-6420,Sala 12,9,215,166.62,166.62,0,False,False,PENDING_APPROVAL,True,35823.3,85,,ALTO,ALTO,"Score=85; nivel=ALTO; factores: vencimiento=9d, valor=35823.3, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0080,SKU-9075,Sala 18,37,47,152.01,152.01,0,False,False,NONE,True,7144.47,67,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=37d, valor=7144.47, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0081,SKU-2558,Sala 2,16,190,122.53,122.53,0,False,False,APPLIED,False,23280.7,73,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=16d, valor=23280.7, acción=APPLIED, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0082,SKU-3626,Sala 14,43,140,35.35,33.58,5,True,True,PENDING_APPROVAL,True,4949.0,65,,ALTO,ALTO,"Score=65; nivel=ALTO; factores: vencimiento=43d, valor=4949.0, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0083,SKU-2348,Sala 1,55,136,132.14,132.14,0,False,False,PENDING_APPROVAL,True,17971.04,59,,MEDIO,MEDIO,"Score=59; nivel=MEDIO; factores: vencimiento=55d, valor=17971.04, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0084,SKU-6261,Sala 8,30,91,102.65,66.72,35,True,True,PENDING_APPROVAL,False,9341.15,88,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=88; nivel=ALTO; factores: vencimiento=30d, valor=9341.15, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0085,SKU-9472,Sala 11,16,131,141.49,141.49,0,False,False,PENDING_APPROVAL,True,18535.19,73,,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=16d, valor=18535.19, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0086,SKU-2820,Sala 14,114,160,23.83,23.83,0,False,False,APPLIED,True,3812.8,28,,BAJO,BAJO,"Score=28; nivel=BAJO; factores: vencimiento=114d, valor=3812.8, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0087,SKU-5238,Sala 7,53,216,97.01,92.16,5,True,True,APPLIED,True,20954.16,54,,MEDIO,MEDIO,"Score=54; nivel=MEDIO; factores: vencimiento=53d, valor=20954.16, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0088,SKU-2573,Sala 8,45,96,175.64,175.64,0,False,False,APPLIED,True,16861.44,52,,MEDIO,MEDIO,"Score=52; nivel=MEDIO; factores: vencimiento=45d, valor=16861.44, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0089,SKU-8268,Sala 8,58,15,150.88,143.34,5,True,True,PENDING_APPROVAL,True,2263.2,41,,MEDIO,MEDIO,"Score=41; nivel=MEDIO; factores: vencimiento=58d, valor=2263.2, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0090,SKU-5949,Sala 13,91,163,175.27,131.45,25,True,True,NONE,False,28569.01,70,,ALTO,ALTO,"Score=70; nivel=ALTO; factores: vencimiento=91d, valor=28569.01, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0091,SKU-7970,Sala 13,21,8,179.21,179.21,0,False,False,NONE,False,1433.68,65,vencimiento <=45 días sin acción comercial; vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=65; nivel=ALTO; factores: vencimiento=21d, valor=1433.68, acción=NONE, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0092,SKU-6741,Sala 2,8,44,96.25,67.38,30,True,True,PENDING_APPROVAL,False,4235.0,83,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=8d, valor=4235.0, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
